id,domain,type,user_id
577,.hiphop,generic,1
578,.hisamitsu,generic,1
579,.hitachi,generic,1
580,.hiv,generic,1
581,.hk,country-code,1
582,.hkt,generic,1
583,.hm,country-code,1
584,.hn,country-code,1
585,.hockey,generic,1
586,.holdings,generic,1
587,.holiday,generic,1
588,.homedepot,generic,1
589,.homegoods,generic,1
590,.homes,generic,1
591,.homesense,generic,1
592,.honda,generic,1
593,.honeywell,generic,1
594,.horse,generic,1
595,.hospital,generic,1
596,.host,generic,1
597,.hosting,generic,1
598,.hot,generic,1
599,.hoteles,generic,1
600,.hotels,generic,1
601,.hotmail,generic,1
602,.house,generic,1
603,.how,generic,1
604,.hr,country-code,1
605,.hsbc,generic,1
606,.ht,country-code,1
607,.htc,generic,1
608,.hu,country-code,1
609,.hughes,generic,1
610,.hyatt,generic,1
611,.hyundai,generic,1
612,.ibm,generic,1
613,.icbc,generic,1
614,.ice,generic,1
615,.icu,generic,1
616,.id,country-code,1
617,.ie,country-code,1
618,.ieee,generic,1
619,.ifm,generic,1
620,.iinet,generic,1
621,.ikano,generic,1
622,.il,country-code,1
623,.im,country-code,1
624,.imamat,generic,1
625,.imdb,generic,1
626,.immo,generic,1
627,.immobilien,generic,1
628,.in,country-code,1
629,.inc,generic,1
630,.industries,generic,1
631,.infiniti,generic,1
632,.info,generic,1
633,.ing,generic,1
634,.ink,generic,1
635,.institute,generic,1
636,.insurance,generic,1
637,.insure,generic,1
638,.int,sponsored,1
639,.intel,generic,1
640,.international,generic,1
641,.intuit,generic,1
642,.investments,generic,1
643,.io,country-code,1
644,.ipiranga,generic,1
645,.iq,country-code,1
646,.ir,country-code,1
647,.irish,generic,1
648,.is,country-code,1
649,.iselect,generic,1
650,.ismaili,generic,1
651,.ist,generic,1
652,.istanbul,generic,1
653,.it,country-code,1
654,.itau,generic,1
655,.itv,generic,1
656,.iveco,generic,1
657,.iwc,generic,1
658,.jaguar,generic,1
659,.java,generic,1
660,.jcb,generic,1
661,.jcp,generic,1
662,.je,country-code,1
663,.jeep,generic,1
664,.jetzt,generic,1
665,.jewelry,generic,1
666,.jio,generic,1
667,.jlc,generic,1
668,.jll,generic,1
669,.jm,country-code,1
670,.jmp,generic,1
671,.jnj,generic,1
672,.jo,country-code,1
673,.jobs,sponsored,1
674,.joburg,generic,1
675,.jot,generic,1
676,.joy,generic,1
677,.jp,country-code,1
678,.jpmorgan,generic,1
679,.jprs,generic,1
680,.juegos,generic,1
681,.juniper,generic,1
682,.kaufen,generic,1
683,.kddi,generic,1
684,.ke,country-code,1
685,.kerryhotels,generic,1
686,.kerrylogistics,generic,1
687,.kerryproperties,generic,1
688,.kfh,generic,1
689,.kg,country-code,1
690,.kh,country-code,1
691,.ki,country-code,1
692,.kia,generic,1
693,.kim,generic,1
694,.kinder,generic,1
695,.kindle,generic,1
696,.kitchen,generic,1
697,.kiwi,generic,1
698,.km,country-code,1
699,.kn,country-code,1
700,.koeln,generic,1
701,.komatsu,generic,1
702,.kosher,generic,1
703,.kp,country-code,1
704,.kpmg,generic,1
705,.kpn,generic,1
706,.kr,country-code,1
707,.krd,generic,1
708,.kred,generic,1
709,.kuokgroup,generic,1
710,.kw,country-code,1
711,.ky,country-code,1
712,.kyoto,generic,1
713,.kz,country-code,1
714,.la,country-code,1
715,.lacaixa,generic,1
716,.ladbrokes,generic,1
717,.lamborghini,generic,1
718,.lamer,generic,1
719,.lancaster,generic,1
720,.lancia,generic,1
721,.lancome,generic,1
722,.land,generic,1
723,.landrover,generic,1
724,.lanxess,generic,1
725,.lasalle,generic,1
726,.lat,generic,1
727,.latino,generic,1
728,.latrobe,generic,1
729,.law,generic,1
730,.lawyer,generic,1
731,.lb,country-code,1
732,.lc,country-code,1
733,.lds,generic,1
734,.lease,generic,1
735,.leclerc,generic,1
736,.lefrak,generic,1
737,.legal,generic,1
738,.lego,generic,1
739,.lexus,generic,1
740,.lgbt,generic,1
741,.li,country-code,1
742,.liaison,generic,1
743,.lidl,generic,1
744,.life,generic,1
745,.lifeinsurance,generic,1
746,.lifestyle,generic,1
747,.lighting,generic,1
748,.like,generic,1
749,.lilly,generic,1
750,.limited,generic,1
751,.limo,generic,1
752,.lincoln,generic,1
753,.linde,generic,1
754,.link,generic,1
755,.lipsy,generic,1
756,.live,generic,1
757,.living,generic,1
758,.lixil,generic,1
759,.lk,country-code,1
760,.llc,generic,1
761,.llp,generic,1
762,.loan,generic,1
763,.loans,generic,1
764,.locker,generic,1
765,.locus,generic,1
766,.loft,generic,1
767,.lol,generic,1
768,.london,generic,1
769,.lotte,generic,1
770,.lotto,generic,1
771,.love,generic,1
772,.lpl,generic,1
773,.lplfinancial,generic,1
774,.lr,country-code,1
775,.ls,country-code,1
776,.lt,country-code,1
777,.ltd,generic,1
778,.ltda,generic,1
779,.lu,country-code,1
780,.lundbeck,generic,1
781,.lupin,generic,1
782,.luxe,generic,1
783,.luxury,generic,1
784,.lv,country-code,1
785,.ly,country-code,1
786,.ma,country-code,1
787,.macys,generic,1
788,.madrid,generic,1
789,.maif,generic,1
790,.maison,generic,1
791,.makeup,generic,1
792,.man,generic,1
793,.management,generic,1
794,.mango,generic,1
795,.map,generic,1
796,.market,generic,1
797,.marketing,generic,1
798,.markets,generic,1
799,.marriott,generic,1
800,.marshalls,generic,1
801,.maserati,generic,1
802,.mattel,generic,1
803,.mba,generic,1
804,.mc,country-code,1
805,.mcd,generic,1
806,.mcdonalds,generic,1
807,.mckinsey,generic,1
808,.md,country-code,1
809,.me,country-code,1
810,.med,generic,1
811,.media,generic,1
812,.meet,generic,1
813,.melbourne,generic,1
814,.meme,generic,1
815,.memorial,generic,1
816,.men,generic,1
817,.menu,generic,1
818,.meo,generic,1
819,.merckmsd,generic,1
820,.metlife,generic,1
821,.mf,country-code,1
822,.mg,country-code,1
823,.mh,country-code,1
824,.miami,generic,1
825,.microsoft,generic,1
826,.mil,sponsored,1
827,.mini,generic,1
828,.mint,generic,1
829,.mit,generic,1
830,.mitsubishi,generic,1
831,.mk,country-code,1
832,.ml,country-code,1
833,.mlb,generic,1
834,.mls,generic,1
835,.mm,country-code,1
836,.mma,generic,1
837,.mn,country-code,1
838,.mo,country-code,1
839,.mobi,generic,1
840,.mobile,generic,1
841,.mobily,generic,1
842,.moda,generic,1
843,.moe,generic,1
844,.moi,generic,1
845,.mom,generic,1
846,.monash,generic,1
847,.money,generic,1
848,.monster,generic,1
849,.montblanc,generic,1
850,.mopar,generic,1
851,.mormon,generic,1
852,.mortgage,generic,1
853,.moscow,generic,1
854,.moto,generic,1
855,.motorcycles,generic,1
856,.mov,generic,1
857,.movie,generic,1
858,.movistar,generic,1
859,.mp,country-code,1
860,.mq,country-code,1
861,.mr,country-code,1
862,.ms,country-code,1
863,.msd,generic,1
864,.mt,country-code,1
865,.mtn,generic,1
866,.mtpc,generic,1
867,.mtr,generic,1
868,.mu,country-code,1
869,.museum,sponsored,1
870,.music,generic,1
871,.mutual,generic,1
872,.mutuelle,generic,1
873,.mv,country-code,1
874,.mw,country-code,1
875,.mx,country-code,1
876,.my,country-code,1
877,.mz,country-code,1
878,.na,country-code,1
879,.nab,generic,1
880,.nadex,generic,1
881,.nagoya,generic,1
882,.name,generic-restricted,1
883,.nationwide,generic,1
884,.natura,generic,1
885,.navy,generic,1
886,.nba,generic,1
887,.nc,country-code,1
888,.ne,country-code,1
889,.nec,generic,1
890,.net,generic,1
891,.netbank,generic,1
892,.netflix,generic,1
893,.network,generic,1
894,.neustar,generic,1
895,.new,generic,1
896,.newholland,generic,1
897,.news,generic,1
898,.next,generic,1
899,.nextdirect,generic,1
900,.nexus,generic,1
901,.nf,country-code,1
902,.nfl,generic,1
903,.ng,country-code,1
904,.ngo,generic,1
905,.nhk,generic,1
906,.ni,country-code,1
907,.nico,generic,1
908,.nike,generic,1
909,.nikon,generic,1
910,.ninja,generic,1
911,.nissan,generic,1
912,.nissay,generic,1
913,.nl,country-code,1
914,.no,country-code,1
915,.nokia,generic,1
916,.northwesternmutual,generic,1
917,.norton,generic,1
918,.now,generic,1
919,.nowruz,generic,1
920,.nowtv,generic,1
921,.np,country-code,1
922,.nr,country-code,1
923,.nra,generic,1
924,.nrw,generic,1
925,.ntt,generic,1
926,.nu,country-code,1
927,.nyc,generic,1
928,.nz,country-code,1
929,.obi,generic,1
930,.observer,generic,1
931,.off,generic,1
932,.office,generic,1
933,.okinawa,generic,1
934,.olayan,generic,1
935,.olayangroup,generic,1
936,.oldnavy,generic,1
937,.ollo,generic,1
938,.om,country-code,1
939,.omega,generic,1
940,.one,generic,1
941,.ong,generic,1
942,.onl,generic,1
943,.online,generic,1
944,.onyourside,generic,1
945,.ooo,generic,1
946,.open,generic,1
947,.oracle,generic,1
948,.orange,generic,1
949,.org,generic,1
950,.organic,generic,1
951,.orientexpress,generic,1
952,.origins,generic,1
953,.osaka,generic,1
954,.otsuka,generic,1
955,.ott,generic,1
956,.ovh,generic,1
957,.pa,country-code,1
958,.page,generic,1
959,.pamperedchef,generic,1
960,.panasonic,generic,1
961,.panerai,generic,1
962,.paris,generic,1
963,.pars,generic,1
964,.partners,generic,1
965,.parts,generic,1
966,.party,generic,1
967,.passagens,generic,1
968,.pay,generic,1
969,.pccw,generic,1
970,.pe,country-code,1
971,.pet,generic,1
972,.pf,country-code,1
973,.pfizer,generic,1
974,.pg,country-code,1
975,.ph,country-code,1
976,.pharmacy,generic,1
977,.phd,generic,1
978,.philips,generic,1
979,.phone,generic,1
980,.photo,generic,1
981,.photography,generic,1
982,.photos,generic,1
983,.physio,generic,1
984,.piaget,generic,1
985,.pics,generic,1
986,.pictet,generic,1
987,.pictures,generic,1
988,.pid,generic,1
989,.pin,generic,1
990,.ping,generic,1
991,.pink,generic,1
992,.pioneer,generic,1
993,.pizza,generic,1
994,.pk,country-code,1
995,.pl,country-code,1
996,.place,generic,1
997,.play,generic,1
998,.playstation,generic,1
999,.plumbing,generic,1
1000,.plus,generic,1
1001,.pm,country-code,1
1002,.pn,country-code,1
1003,.pnc,generic,1
1004,.pohl,generic,1
1005,.poker,generic,1
1006,.politie,generic,1
1007,.porn,generic,1
1008,.post,sponsored,1
1009,.pr,country-code,1
1010,.pramerica,generic,1
1011,.praxi,generic,1
1012,.press,generic,1
1013,.prime,generic,1
1014,.pro,generic-restricted,1
1015,.prod,generic,1
1016,.productions,generic,1
1017,.prof,generic,1
1018,.progressive,generic,1
1019,.promo,generic,1
1020,.properties,generic,1
1021,.property,generic,1
1022,.protection,generic,1
1023,.pru,generic,1
1024,.prudential,generic,1
1025,.ps,country-code,1
1026,.pt,country-code,1
1027,.pub,generic,1
1028,.pw,country-code,1
1029,.pwc,generic,1
1030,.py,country-code,1
1031,.qa,country-code,1
1032,.qpon,generic,1
1033,.quebec,generic,1
1034,.quest,generic,1
1035,.qvc,generic,1
1036,.racing,generic,1
1037,.radio,generic,1
1038,.raid,generic,1
1039,.re,country-code,1
1040,.read,generic,1
1041,.realestate,generic,1
1042,.realtor,generic,1
1043,.realty,generic,1
1044,.recipes,generic,1
1045,.red,generic,1
1046,.redstone,generic,1
1047,.redumbrella,generic,1
1048,.rehab,generic,1
1049,.reise,generic,1
1050,.reisen,generic,1
1051,.reit,generic,1
1052,.reliance,generic,1
1053,.ren,generic,1
1054,.rent,generic,1
1055,.rentals,generic,1
1056,.repair,generic,1
1057,.report,generic,1
1058,.republican,generic,1
1059,.rest,generic,1
1060,.restaurant,generic,1
1061,.review,generic,1
1062,.reviews,generic,1
1063,.rexroth,generic,1
1064,.rich,generic,1
